LGA-1151-2,,,,
Pin,Unit,Type,Name,Side
AA33,PWR,PWR,VSS,RIGHT
AA8,PWR,PWR,VSS,RIGHT
AB39,PWR,PWR,VSS,RIGHT
AB5,PWR,PWR,VSS,RIGHT
AC3,PWR,PWR,VSS,RIGHT
AC33,PWR,PWR,VSS,RIGHT
AC34,PWR,PWR,VSS,RIGHT
AC35,PWR,PWR,VSS,RIGHT
AC6,PWR,PWR,VSS,RIGHT
AD1,PWR,PWR,VSS,RIGHT
AD33,PWR,PWR,VSS,RIGHT
AD36,PWR,PWR,VSS,RIGHT
AD37,PWR,PWR,VSS,RIGHT
AD38,PWR,PWR,VSS,RIGHT
AD39,PWR,PWR,VSS,RIGHT
AD4,PWR,PWR,VSS,RIGHT
AD40,PWR,PWR,VSS,RIGHT
AD6,PWR,PWR,VSS,RIGHT
AD7,PWR,PWR,VSS,RIGHT
AD8,PWR,PWR,VSS,RIGHT
AE3,PWR,PWR,VSS,RIGHT
AE33,PWR,PWR,VSS,RIGHT
AE36,PWR,PWR,VSS,RIGHT
AE5,PWR,PWR,VSS,RIGHT
AE8,PWR,PWR,VSS,RIGHT
AF1,PWR,PWR,VSS,RIGHT
AF33,PWR,PWR,VSS,RIGHT
AF36,PWR,PWR,VSS,RIGHT
AF37,PWR,PWR,VSS,RIGHT
AF40,PWR,PWR,VSS,RIGHT
AF5,PWR,PWR,VSS,RIGHT
AF8,PWR,PWR,VSS,RIGHT
AG1,PWR,PWR,VSS,RIGHT
AG2,PWR,PWR,VSS,RIGHT
AG3,PWR,PWR,VSS,RIGHT
AG33,PWR,PWR,VSS,RIGHT
AG36,PWR,PWR,VSS,RIGHT
AG4,PWR,PWR,VSS,RIGHT
AG5,PWR,PWR,VSS,RIGHT
AG8,PWR,PWR,VSS,RIGHT
AH33,PWR,PWR,VSS,RIGHT
AH36,PWR,PWR,VSS,RIGHT
AH37,PWR,PWR,VSS,RIGHT
AH38,PWR,PWR,VSS,RIGHT
AH39,PWR,PWR,VSS,RIGHT
AH40,PWR,PWR,VSS,RIGHT
AH5,PWR,PWR,VSS,RIGHT
AH8,PWR,PWR,VSS,RIGHT
AJ1,PWR,PWR,VSS,RIGHT
AJ24,PWR,PWR,VSS,RIGHT
AJ30,PWR,PWR,VSS,RIGHT
AJ31,PWR,PWR,VSS,RIGHT
AJ32,PWR,PWR,VSS,RIGHT
AJ33,PWR,PWR,VSS,RIGHT
AJ34,PWR,PWR,VSS,RIGHT
AJ35,PWR,PWR,VSS,RIGHT
AJ36,PWR,PWR,VSS,RIGHT
AJ4,PWR,PWR,VSS,RIGHT
AJ5,PWR,PWR,VSS,RIGHT
AJ8,PWR,PWR,VSS,RIGHT
AK10,PWR,PWR,VSS,RIGHT
AK12,PWR,PWR,VSS,RIGHT
AK13,PWR,PWR,VSS,RIGHT
AK15,PWR,PWR,VSS,RIGHT
AK16,PWR,PWR,VSS,RIGHT
AK17,PWR,PWR,VSS,RIGHT
AK18,PWR,PWR,VSS,RIGHT
AK19,PWR,PWR,VSS,RIGHT
AK20,PWR,PWR,VSS,RIGHT
AK22,PWR,PWR,VSS,RIGHT
AK23,PWR,PWR,VSS,RIGHT
AK25,PWR,PWR,VSS,RIGHT
AK26,PWR,PWR,VSS,RIGHT
